Country,Country Code,Region,Year,Mortality_Rate,yhat_lower,yhat_upper,Model_Source,Model_Path
Thailand,THA,East Asia and Pacific,2029,-0.7938554145724238,-3.9285770768336437,2.3596949161472667,country,saved/country_Thailand.pkl
Timor-Leste,TLS,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Togo,TGO,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Tonga,TON,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Trinidad and Tobago,TTO,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Tunisia,TUN,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Turkmenistan,TKM,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Turks and Caicos Islands,TCA,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Tuvalu,TUV,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Türkiye,TUR,Middle East and North Africa,2029,4.62565648518448,-1.554013655131695,9.984368670060213,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Uganda,UGA,Sub-Saharan Africa,2029,0.970068145102544,-0.24772033160861767,2.3400620963760383,country,saved/country_Uganda.pkl
Ukraine,UKR,Europe and Central Asia,2029,3.786045117653153,-0.47993763706103915,7.968500564709391,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
United Arab Emirates,ARE,Middle East and North Africa,2029,,,,no_model_insufficient_data,
United Kingdom of Great Britain and Northern Ireland,GBR,Europe and Central Asia,2029,3.786045117653153,-0.3446812590349429,7.878750626778059,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
United Republic of Tanzania,TZA,Sub-Saharan Africa,2029,0.3986871127778867,-0.3554904682454619,1.1327822662568778,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
United States Virgin Islands,VIR,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
United States of America,USA,North America,2029,0.17077931256091572,0.007969618312795057,0.3449735333937448,country,saved/country_United_States_of_America.pkl
Uruguay,URY,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Uzbekistan,UZB,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Vanuatu,VUT,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Venezuela (Bolivarian Republic of),VEN,Latin America and Caribbean,2029,-2.2012831806313793,-11.474373397907808,7.963194540144785,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Viet Nam,VNM,East Asia and Pacific,2029,0.041111460950900285,-0.1460223811079011,0.2506257523549477,country,saved/country_Viet_Nam.pkl
Yemen,YEM,Middle East and North Africa,2029,4.62565648518448,-1.1539792515814957,10.880754005384903,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Zambia,ZMB,Sub-Saharan Africa,2029,0.3986871127778867,-0.35109530400347344,1.2113032805606316,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Zimbabwe,ZWE,Sub-Saharan Africa,2029,0.3986871127778867,-0.3993543662659834,1.1926295239566418,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Afghanistan,AFG,South Asia,2030,2.8962753895458015,-1.2375283333180118,7.467639103442538,country,saved/country_Afghanistan.pkl
Albania,ALB,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Algeria,DZA,Middle East and North Africa,2030,4.824264848925589,-0.8588938971111634,10.765631138092218,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
American Samoa,ASM,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Angola,AGO,Sub-Saharan Africa,2030,0.37721454240512153,-0.3788960984003521,1.1333066104333112,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Antigua and Barbuda,ATG,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Argentina,ARG,Latin America and Caribbean,2030,-2.5303519598057673,-11.922365737992468,7.10379798681069,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Armenia,ARM,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Australia,AUS,East Asia and Pacific,2030,-0.1236688306892894,-0.7178862319244729,0.420189995324807,country,saved/country_Australia.pkl
Austria,AUT,Europe and Central Asia,2030,3.8981387151230655,-0.14473704665739476,7.746672619849335,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Azerbaijan,AZE,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Bahamas,BHS,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Bangladesh,BGD,South Asia,2030,-0.1572008727932169,-1.0842177164815028,0.7036783768786037,country,saved/country_Bangladesh.pkl
Barbados,BRB,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Belarus,BLR,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Belgium,BEL,Europe and Central Asia,2030,3.8981387151230655,-0.39702348468849635,8.105654134525025,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Belize,BLZ,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Benin,BEN,Sub-Saharan Africa,2030,0.37721454240512153,-0.40683678970888587,1.248388105729115,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Bermuda,BMU,North America,2030,,,,no_model_insufficient_data,
Bhutan,BTN,South Asia,2030,,,,no_model_insufficient_data,
Bolivia (Plurinational State of),BOL,Latin America and Caribbean,2030,-2.5303519598057673,-12.532202444546845,7.490226333599687,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Bosnia and Herzegovina,BIH,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Botswana,BWA,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Brazil,BRA,Latin America and Caribbean,2030,0.10977495374523102,-0.024426840420016242,0.24615905756384063,country,saved/country_Brazil.pkl
British Virgin Islands,VGB,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Bulgaria,BGR,Europe and Central Asia,2030,3.8981387151230655,-0.5634433541086424,8.07452959341902,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Burkina Faso,BFA,Sub-Saharan Africa,2030,0.37721454240512153,-0.45209513410315677,1.1916478317181558,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Burundi,BDI,Sub-Saharan Africa,2030,0.37721454240512153,-0.40173279805640283,1.1809124737355547,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Cabo Verde,CPV,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Cambodia,KHM,East Asia and Pacific,2030,-0.6322499140846652,-3.605498406855312,2.546577324313047,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Cameroon,CMR,Sub-Saharan Africa,2030,0.37721454240512153,-0.3934273353710486,1.2644332033325887,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Canada,CAN,North America,2030,0.255351001017908,0.09285244387225652,0.4172064875551208,fallback_region:North America,saved/region_North_America.pkl
Cayman Islands,CYM,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Central African Republic,CAF,Sub-Saharan Africa,2030,0.37721454240512153,-0.37937548795668136,1.1986473603608037,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Chad,TCD,Sub-Saharan Africa,2030,0.37721454240512153,-0.47949162255087474,1.1687403108584722,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Chile,CHL,Latin America and Caribbean,2030,-2.5303519598057673,-13.41826399790941,6.696945485872998,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
China,CHN,East Asia and Pacific,2030,-0.48591646196283783,-2.131300683084772,1.073070541132768,country,saved/country_China.pkl
"China, Hong Kong Special Administrative Region",HKG,East Asia and Pacific,2030,,,,no_model_insufficient_data,
"China, Macao Special Administrative Region",MAC,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Colombia,COL,Latin America and Caribbean,2030,0.15975899358462647,-0.1976970384303628,0.5255887443643152,country,saved/country_Colombia.pkl
Comoros,COM,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Congo,COG,Sub-Saharan Africa,2030,0.37721454240512153,-0.41225625769848284,1.1871178215935012,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
